,Price,Open,High,Low,Vol.,Change %
2020-12-13,1841.4,1838.3,1849.4,1827.7,0.53,0.0034000000000000002
2020-12-14,1829.8,1838.7,1839.8,1821.1,0.61,-0.0063
2020-12-15,1853.2,1827.9,1856.1,1827.7,0.74,0.0128
2020-12-16,1857.0,1853.5,1867.1,1846.2,0.58,0.0021
2020-12-17,1887.9,1866.7,1898.3,1864.1,1.32,0.0166
2020-12-18,1886.5,1887.1,1892.7,1879.9,0.59,-0.0007000000000000001
2020-12-19,1886.5,1887.1,1892.7,1879.9,0.59,-0.0007000000000000001
2020-12-20,1886.5,1887.1,1892.7,1879.9,0.59,-0.0007000000000000001
2020-12-21,1880.3,1890.3,1908.5,1857.2,1.06,-0.0033
2020-12-22,1867.7,1883.7,1885.4,1861.6,0.56,-0.0067
2020-12-23,1875.6,1862.2,1880.1,1859.8,0.5,0.0042
2020-12-24,1880.7,1874.1,1882.1,1871.1,0.2,0.0027
2020-12-25,1880.7,1874.1,1882.1,1871.1,0.2,0.0027
2020-12-26,1880.7,1874.1,1882.1,1871.1,0.2,0.0027
2020-12-27,1880.7,1874.1,1882.1,1871.1,0.2,0.0027
2020-12-28,1877.9,1884.4,1900.8,1874.1,1.31,-0.0015
2020-12-29,1880.5,1880.0,1886.3,1874.4,0.34,0.0014000000000000002
2020-12-30,1893.4,1881.8,1899.0,1879.5,133.66,0.0069
2020-12-31,1895.1,1899.0,1904.9,1889.1,130.63,0.0009
2021-01-01,1895.1,1899.0,1904.9,1889.1,130.63,0.0009
2021-01-02,1895.1,1899.0,1904.9,1889.1,130.63,0.0009
2021-01-03,1895.1,1899.0,1904.9,1889.1,130.63,0.0009
2021-01-04,1946.6,1908.2,1948.7,1906.1,273.37,0.027200000000000002
2021-01-05,1954.4,1946.0,1957.0,1938.4,201.95,0.004
2021-01-06,1908.6,1952.8,1962.5,1902.6,366.61,-0.023399999999999997
2021-01-07,1913.6,1921.5,1929.6,1907.5,199.98,0.0026
2021-01-08,1835.4,1915.2,1918.4,1827.8,443.51,-0.0409
2021-01-09,1835.4,1915.2,1918.4,1827.8,443.51,-0.0409
2021-01-10,1835.4,1915.2,1918.4,1827.8,443.51,-0.0409
2021-01-11,1850.8,1849.4,1856.0,1817.1,268.36,0.0084
2021-01-12,1844.2,1845.4,1864.0,1835.8,240.66,-0.0036
2021-01-13,1854.9,1855.0,1863.0,1841.6,225.99,0.0058
2021-01-14,1851.4,1845.6,1857.6,1826.6,257.66,-0.0019
2021-01-15,1829.9,1847.3,1856.6,1822.1,231.11,-0.0116
2021-01-16,1829.9,1847.3,1856.6,1822.1,231.11,-0.0116
2021-01-17,1829.9,1847.3,1856.6,1822.1,231.11,-0.0116
2021-01-18,1840.2,1828.8,1845.0,1800.8,331.59,0.005600000000000001
2021-01-19,1840.2,1828.8,1845.0,1800.8,331.59,0.0
2021-01-20,1866.5,1839.9,1872.0,1831.1,274.4,0.0143
2021-01-21,1865.9,1871.0,1874.6,1857.5,196.94,-0.0003
2021-01-22,1856.2,1870.1,1870.8,1836.3,249.72,-0.0052
2021-01-23,1856.2,1870.1,1870.8,1836.3,249.72,-0.0052
2021-01-24,1856.2,1870.1,1870.8,1836.3,249.72,-0.0052
2021-01-25,1855.2,1855.3,1867.4,1846.2,211.98,-0.0005
2021-01-26,1850.9,1854.9,1860.8,1847.2,170.26,-0.0023
2021-01-27,1844.9,1849.7,1851.5,1828.4,195.54,-0.0032
2021-01-28,1839.4,1844.9,1865.0,1834.1,2.14,-0.003
2021-01-29,1849.0,1843.6,1877.2,1839.9,2.23,0.0052
2021-01-30,1849.0,1843.6,1877.2,1839.9,2.23,0.0052
2021-01-31,1849.0,1843.6,1877.2,1839.9,2.23,0.0052
2021-02-01,1862.2,1863.6,1874.0,1850.5,2.03,0.0070999999999999995
2021-02-02,1832.4,1861.7,1863.6,1829.2,1.66,-0.016
2021-02-03,1833.8,1837.6,1844.5,1829.4,0.81,0.0008
2021-02-04,1790.3,1833.5,1834.0,1783.6,1.99,-0.023700000000000002
2021-02-05,1811.9,1793.7,1814.3,1791.5,1.38,0.0121
2021-02-06,1811.9,1793.7,1814.3,1791.5,1.38,0.0121
2021-02-07,1811.9,1793.7,1814.3,1791.5,1.38,0.0121
2021-02-08,1833.0,1816.6,1838.7,1806.6,1.22,0.0116
2021-02-09,1836.2,1831.1,1848.1,1829.6,0.79,0.0017000000000000001
2021-02-10,1841.6,1838.5,1855.0,1832.7,1.38,0.0029
2021-02-11,1825.6,1821.1,1846.0,1820.9,0.92,-0.0087
